User_ID,Channel,Stage,Conversion_Date,Revenue
2001,Instagram,Visited Website,11-01-2026,0
2001,Instagram,Signed Up,12-01-2026,0
2001,Instagram,Added to Cart,13-01-2026,0
2001,Instagram,Purchased,14-01-2026,425
2002,Organic,Visited Website,03-01-2026,0
2002,Organic,Signed Up,04-01-2026,0
2002,Organic,Added to Cart,05-01-2026,0
2003,Facebook,Visited Website,18-01-2026,0
2003,Facebook,Signed Up,19-01-2026,0
2003,Facebook,Added to Cart,20-01-2026,0
2003,Facebook,Purchased,21-01-2026,564
2004,Email,Visited Website,17-01-2026,0
2005,Organic,Visited Website,14-01-2026,0
2005,Organic,Signed Up,15-01-2026,0
2005,Organic,Added to Cart,16-01-2026,0
2006,Organic,Visited Website,23-01-2026,0
2006,Organic,Signed Up,24-01-2026,0
2007,Email,Visited Website,30-01-2026,0
2007,Email,Signed Up,31-01-2026,0
2007,Email,Added to Cart,01-02-2026,0
2008,Facebook,Visited Website,06-01-2026,0
2008,Facebook,Signed Up,07-01-2026,0
2008,Facebook,Added to Cart,08-01-2026,0
2008,Facebook,Purchased,09-01-2026,266
2009,Instagram,Visited Website,10-01-2026,0
2009,Instagram,Signed Up,11-01-2026,0
2010,Organic,Visited Website,22-01-2026,0
2010,Organic,Signed Up,23-01-2026,0
2010,Organic,Added to Cart,24-01-2026,0
2010,Organic,Purchased,25-01-2026,384
2011,Organic,Visited Website,16-01-2026,0
2011,Organic,Signed Up,17-01-2026,0
2011,Organic,Added to Cart,18-01-2026,0
2012,Google Ads,Visited Website,06-01-2026,0
2012,Google Ads,Signed Up,07-01-2026,0
2012,Google Ads,Added to Cart,08-01-2026,0
2012,Google Ads,Purchased,09-01-2026,370
2013,Facebook,Visited Website,05-01-2026,0
2013,Facebook,Signed Up,06-01-2026,0
2013,Facebook,Added to Cart,07-01-2026,0
2014,Google Ads,Visited Website,26-01-2026,0
2014,Google Ads,Signed Up,27-01-2026,0
2015,Facebook,Visited Website,19-01-2026,0
2015,Facebook,Signed Up,20-01-2026,0
2015,Facebook,Added to Cart,21-01-2026,0
2015,Facebook,Purchased,22-01-2026,383
2016,Instagram,Visited Website,07-01-2026,0
2017,Instagram,Visited Website,11-01-2026,0
2017,Instagram,Signed Up,12-01-2026,0
2017,Instagram,Added to Cart,13-01-2026,0
2017,Instagram,Purchased,14-01-2026,401
2018,Instagram,Visited Website,06-01-2026,0
2018,Instagram,Signed Up,07-01-2026,0
2018,Instagram,Added to Cart,08-01-2026,0
2018,Instagram,Purchased,09-01-2026,103
2019,Email,Visited Website,27-01-2026,0
2019,Email,Signed Up,28-01-2026,0
2019,Email,Added to Cart,29-01-2026,0
2019,Email,Purchased,30-01-2026,527
2020,Email,Visited Website,30-01-2026,0
2020,Email,Signed Up,31-01-2026,0
2020,Email,Added to Cart,01-02-2026,0
2020,Email,Purchased,02-02-2026,341
2021,Organic,Visited Website,13-01-2026,0
2021,Organic,Signed Up,14-01-2026,0
2021,Organic,Added to Cart,15-01-2026,0
